feature,importance,category,importance_pct
loss_given_default,0.99908483,borrower/loan,99.908485
recovery_rate,0.000669795,borrower/loan,0.0669795
unexpected_loss,0.00011235046,borrower/loan,0.011235046
survival_months,5.939102e-05,borrower/loan,0.005939102
pd_annual,3.462723e-05,borrower/loan,0.0034627232
maturity_months,2.492588e-05,borrower/loan,0.002492588
initial_rating_target_encoded,1.40970515e-05,engineered,0.0014097051
log_interest_coverage,0.0,engineered,0.0
sector_target_encoded,0.0,engineered,0.0
portfolio_avg_pd,0.0,macro,0.0
log_pd_annual,0.0,engineered,0.0
portfolio_avg_lgd,0.0,macro,0.0
portfolio_sector_hhi,0.0,macro,0.0
base_gdp_shock_pp,0.0,macro,0.0
base_unemp_shock_pp,0.0,macro,0.0
base_rate_shock_pp,0.0,macro,0.0
log_leverage,0.0,engineered,0.0
delinq_severity,0.0,engineered,0.0
log_ead,0.0,engineered,0.0
payment_burden_score,0.0,engineered,0.0
credit_score,0.0,borrower/loan,0.0
rwa,0.0,borrower/loan,0.0
el,0.0,borrower/loan,0.0
lgd,0.0,borrower/loan,0.0
debt_to_equity,0.0,borrower/loan,0.0
