sector,scenario,total_el,total_ead,avg_pd,n_loans,el_pct_ead
Consumer,adverse,59780771.01124057,5049910318.7,0.031037076435851674,5043,1.18
Consumer,baseline,41456845.36147058,5049910318.7,0.02152363137021614,5043,0.82
Consumer,covid_like,97672327.67162468,5049910318.7,0.050709675508229225,5043,1.93
Consumer,gfc_like,71388687.71245234,5049910318.7,0.037063693219512195,5043,1.41
Consumer,mild,48877620.68117382,5049910318.7,0.02537636138548483,5043,0.97
Consumer,severe,78104696.66101056,5049910318.7,0.04055052150148721,5043,1.55
Energy,adverse,275683137.7721878,20935495607.76,0.036154138193881524,5132,1.32
Energy,baseline,176606750.65482885,20935495607.76,0.02316088289166017,5132,0.84
Energy,covid_like,486021777.8020889,20935495607.76,0.06373874971784878,5132,2.32
Energy,gfc_like,338555141.0053069,20935495607.76,0.04439941250331255,5132,1.62
Energy,mild,215990056.0508557,20935495607.76,0.02832575977650039,5132,1.03
Energy,severe,376702199.1467499,20935495607.76,0.049402163207911146,5132,1.8
Financials,adverse,347011068.8377318,30166694281.04,0.034220705321919176,5023,1.15
Financials,baseline,226213213.06240663,30166694281.04,0.022308152100338444,5023,0.75
Financials,covid_like,601727146.7460016,30166694281.04,0.059339684586900254,5023,1.99
Financials,gfc_like,423471134.8528252,30166694281.04,0.04176086073183357,5023,1.4
Financials,mild,274396627.4446992,30166694281.04,0.027059788497710534,5023,0.91
Financials,severe,469618630.3175562,30166694281.04,0.046311723760302605,5023,1.56
Healthcare,adverse,113329855.47838812,10047744439.08,0.03234089917302289,4982,1.13
Healthcare,baseline,80091770.65610467,10047744439.08,0.02285575913287836,4982,0.8
Healthcare,covid_like,181407860.53607708,10047744439.08,0.051768294435969496,4982,1.81
Healthcare,gfc_like,134393991.16094363,10047744439.08,0.038351963824969894,4982,1.34
Healthcare,mild,93627279.89698637,10047744439.08,0.026718382426334807,4982,0.93
Healthcare,severe,146327664.98870322,10047744439.08,0.041757471935768765,4982,1.46
Industrials,adverse,189296010.48389488,15712153602.53,0.0326094674509178,5012,1.2
Industrials,baseline,127215060.80906914,15712153602.53,0.021914964684756583,5012,0.81
Industrials,covid_like,319055372.50914544,15712153602.53,0.05496273142936951,5012,2.03
Industrials,gfc_like,228605464.27389726,15712153602.53,0.03938119153850758,5012,1.45
Industrials,mild,152149212.7276467,15712153602.53,0.026210297762968876,5012,0.97
Industrials,severe,251885820.40195692,15712153602.53,0.04339163007581804,5012,1.6
Real_Estate,adverse,327568956.334647,25305432304.19,0.035796933656931304,4862,1.29
Real_Estate,baseline,207322124.2624348,25305432304.19,0.022656287124640063,4862,0.82
Real_Estate,covid_like,582989813.4259666,25305432304.19,0.06370947939448786,4862,2.3
Real_Estate,gfc_like,403656175.93896055,25305432304.19,0.04411179103167421,4862,1.6
Real_Estate,mild,255006212.8427948,25305432304.19,0.02786723316330728,4862,1.01
Real_Estate,severe,450303653.8980084,25305432304.19,0.04920945563471823,4862,1.78
Retail,adverse,48857899.29857258,3959380562.16,0.03320639067824682,4951,1.23
Retail,baseline,33648690.97697836,3959380562.16,0.022869415067663098,4951,0.85
Retail,covid_like,80319425.36204734,3959380562.16,0.05458929376651182,4951,2.03
Retail,gfc_like,58447776.22701141,3959380562.16,0.0397241739725308,4951,1.48
Retail,mild,39772752.73478842,3959380562.16,0.027031648609977782,4951,1.0
Retail,severe,64033458.92918982,3959380562.16,0.04352049687376288,4951,1.62
Technology,adverse,171950484.95212913,12773050110.74,0.03465470308529946,4959,1.35
Technology,baseline,116973119.01505382,12773050110.74,0.023574627949183306,4959,0.92
Technology,covid_like,286350195.34885174,12773050110.74,0.05771068921960073,4959,2.24
Technology,gfc_like,206691501.2996001,12773050110.74,0.041656367586206895,4959,1.62
Technology,mild,139081038.508899,12773050110.74,0.02803023263157895,4959,1.09
Technology,severe,227161797.12723452,12773050110.74,0.04578192747731397,4959,1.78
Telecom,adverse,203557264.09882733,18910385182.74,0.03228408909513492,5077,1.08
Telecom,baseline,136799236.625556,18910385182.74,0.0216962964349025,5077,0.72
Telecom,covid_like,343092485.45689446,18910385182.74,0.05441431145873547,5077,1.81
Telecom,gfc_like,245828228.21612412,18910385182.74,0.038988244693519795,5077,1.3
Telecom,mild,163611887.00416496,18910385182.74,0.02594877053614339,5077,0.87
Telecom,severe,270862488.5186009,18910385182.74,0.042958666941106956,5077,1.43
Utilities,adverse,272032603.68710375,22069987323.25,0.03324482184271022,4959,1.23
Utilities,baseline,180632538.9688604,22069987323.25,0.022074914902198026,4959,0.82
Utilities,covid_like,464044992.6110024,22069987323.25,0.05671045638374673,4959,2.1
Utilities,gfc_like,330015648.6961079,22069987323.25,0.04033086952631579,4959,1.5
Utilities,mild,217300944.37953907,22069987323.25,0.026556122627344227,4959,0.98
Utilities,severe,364516463.6391603,22069987323.25,0.04454717827263561,4959,1.65
